"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","question_order","filename","category","cluster_id","spectral_centroid"
"","","","","","audio-keyboard-response","48","139060","0.0-2.0-1.15","null","../../data/raw_audio/products/mmhmm/slide_off.wav","null","","","","",""
"","","","","","survey-likert","49","144374","0.0-2.0-2.15","5313","","{""pleasantness"":2,""annoyance"":4}","[0,1]","slide_off.wav","products/mmhmm","5","1187.766865988657"
"","","","","","html-keyboard-response","50","144875","0.0-2.0-0.16","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","51","145033","0.0-2.0-1.16","null","../../data/raw_audio/products/mmhmm/hide_me.wav","null","","","","",""
"","","","","","survey-likert","52","149833","0.0-2.0-2.16","4799","","{""pleasantness"":2,""annoyance"":5}","[0,1]","hide_me.wav","products/mmhmm","3","3105.5132192113524"
"","","","","","html-keyboard-response","53","150333","0.0-2.0-0.17","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","54","153044","0.0-2.0-1.17","null","../../data/raw_audio/beep/beep_corpus_008.wav","null","","","","",""
"","","","","","survey-likert","55","157807","0.0-2.0-2.17","4762","","{""pleasantness"":1,""annoyance"":6}","[0,1]","beep_corpus_008.wav","beep","7","6906.400403092962"
"","","","","","html-keyboard-response","56","158309","0.0-2.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","57","159307","0.0-2.0-1.18","null","../../data/raw_audio/soundfx/soundfx_00002.wav","null","","","","",""
"","","","","","survey-likert","58","163408","0.0-2.0-2.18","4099","","{""pleasantness"":2,""annoyance"":4}","[0,1]","soundfx_00002.wav","soundfx","6","2374.215814957609"
"","","","","","html-keyboard-response","59","163908","0.0-2.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","","","","","audio-keyboard-response","60","164166","0.0-2.0-1.19","null","../../data/raw_audio/UI/ui_00012.wav","null","","","","",""
"","","","","","survey-likert","61","169691","0.0-2.0-2.19","5524","","{""pleasantness"":2,""annoyance"":4}","[0,1]","ui_00012.wav","UI","4","1157.406397603784"
"","","","","","html-keyboard-response","62","174084","0.0-3.0","4392","
            <p>実験はこれで終了です。</p>
            <p>ありがとうございました。</p>
            <p>データが自動的にダウンロードされます。</p>
        "," ","","","","",""
